Country,Year,Sex,NCD_Mortality_Rate
Europe,2010,Female,273.51263
Western Pacific,2021,Male,1114.31824
Western Pacific,2015,Female,547.99701
Europe,2020,Female,211.87115
Europe,2016,Male,906.34344
Africa,2020,Male,636.8067
Eastern Mediterranean,2021,Male,495.49255
Africa,2005,Male,765.02905
South-East Asia,2002,Female,404.75815
Africa,2016,Male,733.95807
Americas,2013,Female,338.88864
Africa,2004,Female,417.85153
Americas,2009,Female,284.13101
Europe,2004,Female,709.74554
Eastern Mediterranean,2013,Female,400.56119
Europe,2007,Male,843.60968
South-East Asia,2009,Female,515.47095
Europe,2010,Female,356.09717
Europe,2000,Male,970.91376
Africa,2000,Female,716.84863
Europe,2002,Female,599.36243
Africa,2014,Female,568.09137
Africa,2000,Male,673.4903
Eastern Mediterranean,2020,Female,375.60654
Western Pacific,2009,Male,528.48633
Europe,2007,Male,771.3092
Americas,2019,Male,551.6839
Americas,2018,Male,461.18082
Africa,2018,Male,523.91779
Eastern Mediterranean,2014,Male,629.33075
Americas,2003,Female,752.83844
Africa,2002,Female,620.59985
South-East Asia,2019,Male,553.33142
Eastern Mediterranean,2004,Male,1147.85693
Europe,2014,Female,841.98718
Europe,2016,Female,294.63031
Africa,2011,Male,589.71948
Americas,2001,Female,395.12512
Americas,2008,Male,809.30463
Europe,2007,Male,461.47455
Americas,2013,Female,370.90186
Americas,2015,Male,868.93048
Europe,2002,Female,420.32764
Americas,2012,Female,409.10831
Africa,2010,Male,734.00378
Europe,2020,Female,421.27545
Europe,2004,Female,315.41803
Africa,2012,Male,655.91791
Europe,2007,Male,429.37631
Europe,2018,Male,343.88818
Americas,2008,Male,618.31
Africa,2019,Male,671.22607
Africa,2001,Male,755.66864
Europe,2017,Female,298.49973
Western Pacific,2020,Female,736.13635
Africa,2012,Male,647.08313
Africa,2011,Female,657.16016
Americas,2002,Male,609.45428
Europe,2009,Male,742.0957
Americas,2020,Male,570.30341
Africa,2013,Male,597.01111
Eastern Mediterranean,2012,Male,630.39984
Europe,2016,Female,421.97681
Eastern Mediterranean,2013,Female,240.58333
Americas,2016,Female,625.26807
Western Pacific,2004,Male,362.5647
Africa,2010,Male,638.5968
Europe,2006,Female,308.07513
Americas,2019,Female,387.90552
Africa,2002,Female,513.21112
Eastern Mediterranean,2011,Male,766.88684
Western Pacific,2008,Male,591.45667
Americas,2013,Female,485.12726
Americas,2001,Female,329.29324
Eastern Mediterranean,2020,Male,484.31152
Americas,2004,Male,592.71655
Africa,2002,Male,612.32306
Europe,2021,Female,214.8419
Western Pacific,2006,Female,543.78552
Europe,2005,Male,484.36667
Eastern Mediterranean,2003,Male,958.55859
Africa,2003,Male,614.32452
Africa,2017,Male,623.90173
Africa,2004,Male,668.06195
Americas,2017,Female,265.38895
South-East Asia,2015,Female,510.34045
Eastern Mediterranean,2016,Male,728.66095
Africa,2009,Female,646.63269
Europe,2006,Male,405.56537
Europe,2008,Female,546.9859
Africa,2019,Male,625.41669
Africa,2004,Male,784.16388
Europe,2020,Male,419.82324
Americas,2012,Male,490.81793
Africa,2018,Male,730.43329
Africa,2021,Male,735.38574
Africa,2010,Female,361.40125
Eastern Mediterranean,2019,Male,692.80396
Americas,2011,Male,441.66339
Europe,2009,Female,602.24835
Africa,2018,Female,570.94574
Africa,2018,Male,701.82947
Europe,2017,Female,490.50232
Americas,2003,Female,330.3371
Europe,2000,Male,778.51526
Europe,2011,Female,559.40546
Africa,2010,Male,1000.13855
Europe,2018,Male,581.72894
Africa,2016,Female,459.73151
Western Pacific,2021,Female,588.73962
Europe,2012,Female,266.65549
Western Pacific,2001,Male,896.15094
Americas,2002,Male,693.11774
Africa,2002,Male,816.00812
Europe,2011,Male,1097.5011
South-East Asia,2013,Male,567.9007
Europe,2014,Male,962.03326
Europe,2018,Male,364.48932
Africa,2009,Female,585.7569
Europe,2008,Female,454.29135
Americas,2009,Female,363.26831
Africa,2015,Female,563.49054
South-East Asia,2014,Male,583.31805
Eastern Mediterranean,2012,Female,427.50638
Americas,2010,Male,625.58868
Africa,2006,Male,753.72656
Western Pacific,2019,Male,1038.49841
Europe,2019,Male,382.58908
Americas,2005,Male,575.83295
Africa,2010,Female,653.59827
Africa,2009,Male,789.05023
Europe,2008,Female,422.33511
Western Pacific,2006,Male,1182.68176
Africa,2002,Female,680.7489
Eastern Mediterranean,2013,Male,641.47363
Europe,2001,Female,740.91724
Africa,2012,Male,472.2291
Africa,2012,Female,536.25964
Western Pacific,2021,Female,406.23297
Western Pacific,2019,Female,175.75185
Eastern Mediterranean,2016,Female,416.52887
Europe,2003,Female,369.93146
South-East Asia,2020,Female,276.70755
Africa,2018,Male,714.79932
Europe,2004,Female,756.95026
Eastern Mediterranean,2019,Male,963.70721
Africa,2007,Female,669.6095
Western Pacific,2010,Male,353.20474
Africa,2013,Male,1018.89526
South-East Asia,2020,Female,454.80032
Americas,2013,Female,352.55569
Americas,2013,Male,554.33099
Africa,2006,Male,813.23175
Europe,2011,Female,307.70978
Europe,2007,Female,505.1221
Eastern Mediterranean,2009,Female,618.33551
Western Pacific,2005,Female,797.92462
Europe,2007,Female,247.22943
Western Pacific,2014,Female,549.4472
Americas,2005,Male,499.19305
Western Pacific,2011,Male,527.42627
Europe,2016,Male,724.32574
Europe,2012,Female,633.47046
Europe,2020,Female,349.09238
Western Pacific,2016,Female,190.08624
Americas,2014,Female,462.82602
Europe,2007,Female,447.17465
Europe,2003,Female,547.56885
Americas,2011,Male,746.25787
Europe,2001,Male,488.84073
Africa,2004,Female,593.98492
Eastern Mediterranean,2000,Male,1172.42395
Africa,2001,Male,553.80115
Eastern Mediterranean,2020,Male,640.45465
Americas,2017,Female,456.32681
Africa,2016,Female,456.96216
Western Pacific,2003,Male,583.62793
Europe,2014,Male,456.85168
Europe,2004,Male,826.38153
Africa,2006,Male,852.75244
Africa,2015,Male,721.46332
Africa,2006,Male,722.1441
Eastern Mediterranean,2016,Female,720.68573
Europe,2012,Male,399.48334
Americas,2003,Male,482.27884
Africa,2018,Female,661.78052
Europe,2010,Male,1154.27563
Europe,2001,Female,393.50336
Americas,2012,Female,353.81854
Africa,2008,Female,782.7536
Americas,2021,Male,498.39963
Africa,2001,Male,829.5036
Europe,2004,Female,492.21295
Eastern Mediterranean,2016,Female,930.4599
Europe,2005,Female,757.61804
Europe,2001,Female,667.89636
Europe,2014,Female,292.45715
Americas,2012,Male,650.76215
Western Pacific,2003,Male,1177.21777
South-East Asia,2021,Female,497.51282
South-East Asia,2001,Male,731.18579
Europe,2010,Female,571.3382
Europe,2002,Male,557.61023
Africa,2016,Female,545.52838
Americas,2001,Female,500.13303
Americas,2015,Male,603.40356
Europe,2018,Female,263.64249
Western Pacific,2011,Female,735.10419
Europe,2010,Male,1063.97693
Western Pacific,2019,Male,775.04974
Americas,2016,Male,455.92636
Europe,2017,Female,749.85046
South-East Asia,2006,Male,744.11127
Americas,2020,Female,433.88385
Africa,2010,Female,598.32178
Europe,2007,Male,450.86636
Western Pacific,2010,Female,260.19287
Europe,2001,Female,1154.6012
Eastern Mediterranean,2004,Male,972.76801
Europe,2020,Male,623.29272
Americas,2007,Male,808.05426
Africa,2016,Female,675.52539
Americas,2007,Male,277.20346
Eastern Mediterranean,2016,Female,440.24466
Europe,2017,Female,266.65421
Europe,2013,Female,282.49304
Western Pacific,2014,Male,823.79675
South-East Asia,2001,Male,584.40222
Europe,2020,Male,645.17163
Europe,2010,Female,721.93231
Americas,2017,Male,597.94049
Europe,2016,Female,595.52649
Eastern Mediterranean,2021,Male,631.68677
Africa,2010,Male,719.46942
Western Pacific,2010,Male,591.70477
South-East Asia,2021,Female,423.25226
Western Pacific,2005,Male,911.58508
Americas,2016,Male,495.88464
Americas,2004,Female,458.83603
Africa,2012,Female,577.98846
Americas,2016,Female,401.8678
Africa,2001,Female,464.00433
Africa,2016,Female,548.33105
Europe,2009,Male,796.0835
Western Pacific,2021,Female,708.26172
Western Pacific,2004,Female,893.05023
South-East Asia,2012,Female,488.01807
South-East Asia,2019,Male,517.19336
Western Pacific,2007,Female,699.32886
Africa,2017,Male,1122.56299
Europe,2021,Male,642.75458
Europe,2008,Female,318.40631
Eastern Mediterranean,2020,Female,444.11865
Africa,2007,Female,423.86633
Eastern Mediterranean,2012,Male,700.19092
Europe,2007,Female,263.32828
South-East Asia,2000,Male,766.78595
Europe,2020,Female,284.80789
Europe,2013,Female,585.25592
Americas,2009,Female,424.97046
Europe,2005,Male,1065.04919
Africa,2001,Male,771.25818
Europe,2015,Female,287.71686
Africa,2003,Female,456.69873
Europe,2013,Male,808.86047
Africa,2015,Female,874.44525
Western Pacific,2020,Male,345.24106
Europe,2007,Male,484.54825
Americas,2019,Male,554.57635
Europe,2004,Male,961.51257
South-East Asia,2005,Female,458.7558
Europe,2003,Male,556.25165
Americas,2015,Female,235.80283
Americas,2008,Male,486.77432
Eastern Mediterranean,2015,Male,484.11624
Americas,2001,Male,650.28827
Americas,2021,Female,423.09787
Africa,2008,Female,585.39862
Africa,2017,Female,558.19031
Africa,2020,Male,963.34766
Africa,2003,Male,552.82428
Eastern Mediterranean,2020,Female,606.30701
Americas,2017,Female,450.18066
Europe,2001,Female,336.17279
South-East Asia,2011,Male,838.80347
South-East Asia,2010,Male,695.97516
Western Pacific,2014,Male,825.94366
Africa,2013,Male,725.2002
Eastern Mediterranean,2007,Female,583.36377
Europe,2008,Male,422.96805
Americas,2010,Male,313.57504
Western Pacific,2019,Male,815.17706
Americas,2019,Female,375.5564
Africa,2002,Female,452.25305
Africa,2017,Female,569.38184
Eastern Mediterranean,2000,Female,767.21277
Africa,2017,Female,549.15582
Europe,2003,Male,460.88635
Americas,2013,Male,452.6601
Americas,2021,Male,583.13098
Africa,2021,Female,894.76801
Africa,2013,Female,873.62549
Africa,2008,Female,742.55548
Western Pacific,2021,Female,788.42236
Eastern Mediterranean,2015,Female,704.71198
Africa,2012,Female,604.46893
Europe,2005,Male,851.84619
Europe,2021,Female,411.50308
Americas,2011,Female,959.64722
Americas,2017,Female,442.78165
Europe,2011,Male,477.89459
Africa,2018,Female,575.70923
Africa,2012,Male,632.61578
Eastern Mediterranean,2012,Male,943.16931
Europe,2014,Female,406.79303
Europe,2006,Male,497.27386
Eastern Mediterranean,2013,Male,502.77713
South-East Asia,2004,Female,436.04141
South-East Asia,2004,Male,706.59033
Western Pacific,2018,Male,324.29431
Americas,2005,Male,802.69385
Africa,2004,Female,603.24707
Africa,2014,Female,466.44202
Europe,2002,Female,397.19876
Europe,2013,Male,430.48709
Americas,2018,Male,540.86902
South-East Asia,2008,Female,692.06024
Americas,2010,Female,502.41977
Europe,2012,Female,274.86224
Western Pacific,2002,Female,301.37787
Africa,2003,Female,490.00406
South-East Asia,2016,Female,579.99469
Europe,2010,Male,491.39313
Europe,2010,Male,505.16348
Eastern Mediterranean,2011,Male,981.14099
